harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
1,0,0,0,0,0,0,0,4,0,0,0,7,1,0,0,0,0,1,0,13,1,4,22,1,59
9,4,0,0,1,0,0,0,22,6,6,0,0,0,0,0,0,0,8,3,82,1,133,16,3,68
4,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,81,7,13,18,4,13
0,0,0,0,0,0,0,0,62,13,0,0,0,0,9,1,0,0,0,0,70,84,26,8,1,0
0,0,0,0,11,0,0,0,118,1,0,0,15,12,0,0,0,0,0,11,3,0,5,4,0,19
10,0,0,0,1,1,0,0,81,81,2,0,0,0,50,0,0,0,2,0,13,11,61,17,4,93
7,0,0,0,0,0,0,0,28,8,0,0,0,0,4,0,0,0,4,6,10,5,6,5,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,208,286,25,4,42,1
7,1,0,0,0,1,0,0,49,22,4,1,2,3,27,0,0,0,7,0,18,65,111,13,0,95
3,0,0,0,0,0,0,0,77,3,0,0,0,0,3,0,0,0,2,0,10,3,28,9,0,66
10,0,2,0,5,0,0,0,76,31,0,0,26,1,43,0,2,1,1,8,30,46,148,23,7,137
18,0,1,0,3,0,0,0,1103,49,0,0,6,0,4,0,0,0,0,0,0,53,1,4,0,0
0,15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,5,35,21,18,1,467
0,0,0,0,0,14,0,0,27,3,0,0,5,2,14,1,0,0,65,0,278,26,83,58,47,64
