ID,timeLimit,widthBlock,heightBlock,objectCount,record,harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
1EE0-0000-0356-0D28,350,240,27,2414,56926,9,4,0,0,1,0,0,0,22,6,6,0,0,0,0,0,0,0,8,3,82,1,133,16,3,68
2002-0000-0389-2D23,10,70,27,534,8833,4,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,81,7,13,18,4,13
2009-0000-032C-8BA1,500,95,27,2115,36850,0,0,0,0,0,0,0,0,62,13,0,0,0,0,9,1,0,0,0,0,70,84,26,8,1,0
2037-0000-0358-068D,500,240,27,1647,57071,0,0,0,0,11,0,0,0,118,1,0,0,15,12,0,0,0,0,0,11,3,0,5,4,0,19
2072-0000-033D-AB8E,500,240,27,3030,89645,10,0,0,0,1,1,0,0,81,81,2,0,0,0,50,0,0,0,2,0,13,11,61,17,4,93
1B93-0000-0333-93E1,40,240,27,1382,38754,7,0,0,0,0,0,0,0,28,8,0,0,0,0,4,0,0,0,4,6,10,5,6,5,1,6
20CF-0000-0309-9019,500,157,27,3576,21545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,208,286,25,4,42,1
20F9-0000-0307-7897,500,240,27,3955,106725,7,1,0,0,0,1,0,0,49,22,4,1,2,3,27,0,0,0,7,0,18,65,111,13,0,95
2153-0000-031C-84F9,500,84,27,1143,51141,3,0,0,0,0,0,0,0,77,3,0,0,0,0,3,0,0,0,2,0,10,3,28,9,0,66
212F-0000-0334-AE1E,500,240,27,4445,136783,10,0,2,0,5,0,0,0,76,31,0,0,26,1,43,0,2,1,1,8,30,46,148,23,7,137
20E2-0000-0314-F21F,70,238,27,1303,63390,18,0,1,0,3,0,0,0,1103,49,0,0,6,0,4,0,0,0,0,0,0,53,1,4,0,0
216E-0000-0306-5CCC,500,240,27,3402,144342,0,15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,5,35,21,18,1,467
22A8-0000-036B-55D3,500,240,27,3318,196615,0,0,0,0,0,14,0,0,27,3,0,0,5,2,14,1,0,0,65,0,278,26,83,58,47,64
22AB-0000-030D-4D75,500,240,27,1773,40590,0,0,0,0,0,0,0,0,456,170,0,0,0,0,4,0,0,0,2,0,33,6,44,6,0,52
22AE-0000-035A-3B69,250,171,27,486,47220,5,1,0,0,0,0,0,0,96,0,0,0,0,0,2,0,0,0,0,0,2,1,6,2,3,31
22F4-0000-030C-F817,500,131,27,1964,92000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9,36,46,11,3,119
226E-0000-030D-B9B5,500,125,27,2311,56756,0,1,0,0,1,0,0,0,5,0,0,0,0,0,9,1,0,0,44,0,159,2,11,14,2,43
2344-0000-0312-7E6F,80,147,27,435,20277,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,8,0,148,21,26,0,0,0
23D7-0000-0329-C142,300,240,27,1307,20502,1,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,12,0,0,9,0,57
240C-0000-0332-4CB0,500,240,27,3853,248472,12,0,0,0,0,0,0,0,282,40,0,0,17,3,36,0,0,0,5,12,26,47,198,18,4,101
2429-0000-035D-7C74,50,84,27,2035,44583,0,22,0,0,0,0,0,0,50,41,0,0,0,0,0,0,0,0,1,0,10,7,9,6,0,634
2475-0000-032A-9CA4,200,153,27,588,55000,9,0,6,0,0,0,0,0,33,6,0,0,1,0,0,0,0,0,1,0,2,0,8,2,0,64
23E5-0000-0333-96A7,60,240,27,2337,43987,6,10,0,1,0,3,0,0,176,15,0,1,0,0,2,2,0,0,7,2,248,132,129,31,4,152
24D2-0000-0326-557B,300,81,27,3178,8843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
24C8-0000-0316-3F13,500,240,27,1997,98867,11,5,10,0,0,0,0,0,60,11,2,0,4,2,37,0,4,3,19,2,173,1,92,18,1,109
24F9-0000-033B-5BCE,500,240,27,3770,98904,16,0,1,0,4,1,0,0,42,4,14,1,6,1,43,0,0,0,3,0,13,3,105,17,2,60
2606-0000-0333-7B0D,500,240,27,877,21741,2,0,0,0,6,0,0,0,216,0,3,0,0,0,0,0,0,0,0,0,116,46,20,0,0,0
2647-0000-031E-0E0A,500,144,27,543,18164,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,1,12,26,7,1,0,118
2576-0000-034C-B45C,110,126,27,694,15075,1,0,0,0,0,0,0,0,16,4,0,0,14,4,0,0,0,1,1,0,1,1,3,4,1,23
2681-0000-035D-ADB2,10,24,27,168,6111,0,0,0,0,0,0,0,0,38,0,0,0,0,0,12,0,0,0,0,0,20,4,0,4,0,0
26EC-0000-0339-F51C,40,139,27,2210,30434,4,11,1,12,1,4,2,4,121,17,0,6,0,12,0,2,0,4,6,0,203,54,20,50,2,62
26DD-0000-0300-F62A,500,120,27,4359,22266,12,0,0,0,1,0,0,0,553,57,0,0,0,0,0,0,0,0,6,1,1545,446,16,136,34,0
26EE-0000-0301-E2A0,30,84,27,801,26516,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,3,0,92,0,0,8,59,74
278A-0000-0369-B7A8,20,232,27,1060,19811,0,0,0,0,0,0,0,0,0,14,0,0,56,0,0,0,0,0,7,0,0,0,9,0,0,0
274E-0000-032A-8F58,500,240,27,1138,30783,19,0,0,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,51,0,157,19,10,4,0,95
283C-0000-036F-FCFD,500,178,27,3727,31429,113,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,114,0,3,187,32,5,20,0
2842-0000-0303-5FFB,60,144,27,2097,32332,3,0,0,0,0,0,0,0,868,53,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0
27FE-0000-034C-44C6,500,240,27,2685,92431,0,0,0,0,0,0,0,0,76,2,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,16
2A2D-0000-033E-331E,100,33,27,180,7401,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,11
2A47-0000-033E-9FE0,40,168,27,2021,24994,7,0,0,0,0,0,0,0,101,9,0,0,0,0,1,0,0,0,0,0,602,38,4,0,3,0
2931-0000-0331-1DE4,100,106,27,330,11507,9,0,31,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,12,0,37,3,0,46
0ADD-0000-036A-E2D2,500,84,27,721,17997,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,17,37,5,0,7
2B00-0000-0320-9739,400,240,27,2803,122216,3,4,0,3,4,1,0,0,58,22,2,0,2,1,3,0,2,0,12,1,58,19,45,16,2,43
2B8D-0000-0312-9D77,500,240,27,1630,54515,3,6,0,0,1,0,0,0,107,2,0,0,0,0,12,5,0,0,5,0,5,1,31,22,2,43
2BBA-0000-0323-A3FC,50,84,27,388,5547,0,0,0,0,0,0,9,0,0,26,0,0,0,0,4,4,0,0,5,24,2,0,0,13,0,0
2BC3-0000-036B-9E6D,20,228,27,990,19433,0,0,0,6,0,0,0,0,9,14,0,0,8,3,0,0,0,0,8,0,0,0,12,0,0,44
2C0E-0000-036A-FA0C,40,66,27,1186,29640,12,9,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,29,40,12,4,4,0
2C63-0000-036E-066A,20,213,27,1408,14388,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2BB6-0000-0335-66F7,260,240,27,1114,53459,7,0,0,0,5,0,0,0,54,7,1,0,0,0,1,0,0,0,1,0,6,0,12,6,2,19
2D26-0000-030A-6739,30,240,27,1469,20531,0,0,9,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,6,0,0,0,0
2DD8-0000-033E-9548,30,217,27,1115,21330,2,14,1,0,5,0,0,0,48,15,5,2,1,0,16,1,0,0,2,3,0,67,2,0,0,457
